ABC.L,ABCAM PLC ORD 0.2P
ABDP.L,AB DYNAMICS PLC ORD 1P
AFC.L,AFC ENERGY PLC ORD 0.1P
AFM.L,ALPHA FINANCIAL MARKETS CONSULTING ORD 0.075P
AFX.L,ALPHA FX GROUP PLC ORD 0.2P
AMS.L,ADVANCED MEDICAL SOLUTIONS GRP PLC ORD 5P
APH.L,ALLIANCE PHARMA PLC ORD 1P
ASC.L,ASOS PLC ORD 3.5P
ASY.L,ANDREWS SYKES GROUP PLC ORD 1P
ATYM.L,ATALAYA MINING PLC ORD 7.5P
AVCT.L,AVACTA GROUP PLC ORD 10P
BMK.L,BENCHMARK HOLDINGS PLC ORD 0.1P
BOKU.L,BOKU INC. CMN SHS USD0.0001 (DI) REG S CAT 3/144A
BOO.L,BOOHOO GROUP PLC ORD 1P
BREE.L,BREEDON GROUP PLC ORD NPV
BRK.L,BROOKS MACDONALD GROUP PLC ORD 1P
BUR.L,BURFORD CAPITAL LIMITED ORD NPV (DI)
BVXP.L,BIOVENTIX PLC ORD 5P
CAML.L,CENTRAL ASIA METALS PLC ORD USD0.01
CHRT.L,COHORT PLC ORD 10P
CLIN.L,CLINIGEN GROUP PLC ORD 0.1P
CREO.L,CREO MEDICAL GROUP PLC ORD GBP0.001
CRW.L,CRANEWARE PLC ORD 1P
CTH.L,CARETECH HOLDINGS PLC ORD 0.5P
CVSG.L,CVS GROUP PLC ORD 0.2P
CWR.L,CERES POWER HOLDINGS PLC ORD 10P
DATA.L,GLOBALDATA PLC ORD 1/14P
DOTD.L,DOTDIGITAL GROUP PLC ORD 0.5P
EMIS.L,EMIS GROUP PLC ORD 1P
ERGO.L,ERGOMED PLC ORD 1P
EUA.L,EURASIA MINING PLC ORD 0.1P
FDEV.L,FRONTIER DEVELOPMENTS PLC ORD 0.5P
FDP.L,FIRST DERIVATIVES PLC ORD 0.5P
FEVR.L,FEVERTREE DRINKS PLC ORD 0.25P
FRP.L,FRP ADVISORY GROUP PLC ORD 0.1P
GAMA.L,GAMMA COMMUNICATIONS PLC ORD 0.25P
GBG.L,GB GROUP PLC ORD 2.5P
GGP.L,GREATLAND GOLD PLC ORD 0.1P
GHH.L,GOOCH & HOUSEGO PLC ORD 20P
GROW.L,DRAPER ESPRIT PLC ORD GBP0.01
GRP.L,GREENCOAT RENEWABLES PLC ORD EUR0.01 (CDI)
HCM.L,HUTCHISON CHINA MEDITECH LD ORD USD0.10
HOTC.L,HOTEL CHOCOLAT GROUP PLC ORD 0.1P
IBPO.L,IENERGIZER LD ORD 1P
IDEA.L,IDEAGEN PLC ORD 1P
IGR.L,IG DESIGN GROUP PLC ORD 5P
IOM.L,IOMART GROUP PLC ORD 1P
IPX.L,IMPAX ASSET MANAGEMENT GROUP PLC ORD 1P
IQE.L,IQE PLC ORD 1P
ITM.L,ITM POWER PLC ORD 5P
JDG.L,JUDGES SCIENTIFIC PLC ORD 5P
JET2.L,JET2 PLC ORD 1.25P
JHD.L,JAMES HALSTEAD PLC ORD 5P
JSE.L,JADESTONE ENERGY INC COM SHS NPV (DI)
JSG.L,JOHNSON SERVICE GROUP PLC ORD 10P
KAPE.L,KAPE TECHNOLOGIES PLC ORD USD0.0001
KETL.L,STRIX GROUP PLC ORD 1P
KGH.L,KNIGHTS GROUP HOLDINGS PLC ORD 0.2P
KWS.L,KEYWORDS STUDIOS PLC ORD 1P
LTG.L,LEARNING TECHNOLOGIES GROUP PLC ORD 0.375P
MAB1.L,MORTGAGE ADVICE BUREAU (HLDGS) PLC ORD 0.1P
MIDW.L,MIDWICH GROUP PLC ORD GBP0.01
MPE.L,M. P. EVANS GROUP PLC ORD 10P
MRL.L,MARLOWE PLC ORD 50P
MXCT.L,MAXCYTE INC COM STK USD0.01 (DI)
NCYT.L,NOVACYT S.A. EUR1/15TH (CDI)
NFC.L,NEXT FIFTEEN COMMUNICATIONS GRP PLC ORD 2.5P
NICL.L,NICHOLS PLC ORD 10P
NUM.L,NUMIS CORPORATION PLC ORD 5P
PAF.L,PAN AFRICAN RESOURCES PLC ORD 1P
POLR.L,POLAR CAPITAL HOLDINGS PLC ORD 2.5P
PPS.L,PROTON MOTOR POWER SYSTEMS PLC ORD 1P
PRSM.L,BLUE PRISM GROUP PLC ORD 1P
RENX.L,RENALYTIX AI PLC ORD 0.25P
RNWH.L,RENEW HOLDINGS PLC ORD 10P
RQIH.L,RANDALL & QUILTER INVEST. HLDGS LD ORD 2P (DI)
RST.L,RESTORE PLC ORD 5P
RWS.L,RWS HOLDINGS PLC ORD 1P
SCPA.L,SCAPA GROUP PLC ORD 5P
SEE.L,SEEING MACHINES LD ORD NPV
SHED.L,URBAN LOGISTICS REIT PLC ORD 1P
SIR.L,SECURE INCOME REIT PLC ORD 10P
SLN.L,SILENCE THERAPEUTICS PLC ORD 5P
SMS.L,SMART METERING SYSTEMS PLC ORD 1P
SQZ.L,SERICA ENERGY PLC ORD USD0.10
SUMO.L,SUMO GROUP PLC ORD GBP0.01
TCM.L,TELIT COMMUNICATIONS PLC ORD 1P
TFW.L,THORPE(F.W.) PLC ORD 1P
TM17.L,TEAM17 GROUP PLC ORD GBP0.01
TRMR.L,TREMOR INTERNATIONAL LTD ORD NIS0.01 (DI)
TUNE.L,FOCUSRITE PLC ORD 0.1P
UPR.L,UNIPHAR PLC ORD EUR0.08 (CDI)
VCP.L,VICTORIA PLC ORD 5P
VLX.L,VOLEX PLC ORD 25P
WAND.L,WANDISCO PLC ORD 10P
WHR.L,WAREHOUSE REIT PLC ORD 1P
WINE.L,NAKED WINES PLC ORD 7.5P
WJG.L,WATKIN JONES PLC ORD 1P
YNGA.L,YOUNG & CO'S BREWERY PLC A' ORD 12.5P
YNGN.L,YOUNG & CO'S BREWERY PLC NON VTG ORD 12.5P
YOU.L,YOUGOV PLC ORD 0.2P
